flight_date,flight_status,airline_name,airline_iata,departure_airport,departure_iata,departure_time,arrival_airport,arrival_iata,arrival_time,logo_url,aircraft_type
8/23/2025,scheduled,Starlux,JX,Taiwan Taoyuan International (Chiang Kai Shek International),TPE,2025-08-23T00:05:00+00:00,San Francisco International,SFO,2025-08-22T21:00:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,SF Airlines,O3,Jinjiang,JJN,2025-08-23T00:05:00+00:00,Hangzhou,HGH,2025-08-23T01:30:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 747
8/23/2025,scheduled,SF Airlines,O3,Qingdao,TAO,2025-08-23T00:05:00+00:00,Hangzhou,HGH,2025-08-23T01:55:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A320
8/23/2025,scheduled,ANA,NH,Haneda Airport,HND,2025-08-23T00:05:00+00:00,Suvarnabhumi International,BKK,2025-08-23T04:35:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,Japan Airlines,JL,Haneda Airport,HND,2025-08-23T00:05:00+00:00,Singapore Changi,SIN,2025-08-23T06:10:00+00:00,https://1000logos.net/wp-content/uploads/2021/04/Japan-Airlines-logo-500x281.png,Airbus A380
8/23/2025,scheduled,Emirates,EK,Haneda Airport,HND,2025-08-23T00:05:00+00:00,Dubai,DXB,2025-08-23T05:45:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Emirates-Logo-500x313.png,Embraer E190
8/23/2025,scheduled,China Postal Airlines,CF,Kunming,KMG,2025-08-23T00:05:00+00:00,Nanjing Lukou International Airport,NKG,2025-08-23T02:50:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 747
8/23/2025,scheduled,SF Airlines,O3,Tianhe International,WUH,2025-08-23T00:15:00+00:00,Hangzhou,HGH,2025-08-23T01:35:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Airbus A380
8/23/2025,scheduled,Finnair,AY,Hong Kong International,HKG,2025-08-23T00:40:00+00:00,Brisbane International,BNE,2025-08-23T11:05:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Finnair-Logo-500x313.png,Embraer E190
8/23/2025,scheduled,T'Way Air,TW,Hong Kong International,HKG,2025-08-23T00:40:00+00:00,Seoul (Incheon),ICN,2025-08-23T05:30:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,ATR 72
8/23/2025,scheduled,Emirates,EK,Hong Kong International,HKG,2025-08-23T00:40:00+00:00,Dubai,DXB,2025-08-23T04:25:00+00:00,https://1000logos.net/wp-content/uploads/2020/03/Emirates-Logo-500x313.png,Boeing 777
8/23/2025,scheduled,TAP Air Portugal,TP,Hong Kong International,HKG,2025-08-23T00:40:00+00:00,Dubai,DXB,2025-08-23T04:25:00+00:00,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg,Boeing 787 Dreamliner
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:35:00+00:00,Manchester Airport,MAN,2025-08-23T07:55:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Boeing 737
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:30:00+00:00,Leonardo Da Vinci (Fiumicino),FCO,2025-08-23T07:35:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Boeing 737
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:25:00+00:00,El Prat De Llobregat,BCN,2025-08-23T08:30:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Boeing 747
8/23/2025,scheduled,Cathay Pacific,CX,Hong Kong International,HKG,2025-08-23T00:20:00+00:00,Melbourne - Tullamarine Airport,MEL,2025-08-23T11:15:00+00:00,https://1000logos.net/wp-content/uploads/2020/04/Cathay-Pacific-Logo-500x281.png,Embraer E190
