latitude,longitude,elevation,timezone_offset,time,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m,is_day,type,departure_airport,Arrival Airport
12.875,45,1,0,2025-08-29 12:45:00+00:00,37.20000076,0,33.00436401,219.2454224,1,current,Aden International Airport ,
12.875,45,1,0,2025-08-29 00:00:00+00:00,30.14299965,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 01:00:00+00:00,29.99300003,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 02:00:00+00:00,29.89299965,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 03:00:00+00:00,29.69299889,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 04:00:00+00:00,29.84300041,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 05:00:00+00:00,30.84300041,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 06:00:00+00:00,32.39300156,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 07:00:00+00:00,34.04300308,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 08:00:00+00:00,35.24300003,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 09:00:00+00:00,36.59300232,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 10:00:00+00:00,37.44300079,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 11:00:00+00:00,37.54300308,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 12:00:00+00:00,37.29300308,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 13:00:00+00:00,37.19300079,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 14:00:00+00:00,36.74300003,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 15:00:00+00:00,35.89300156,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 16:00:00+00:00,35.24300003,,,,,hourly,Aden International Airport ,
12.875,45,1,0,2025-08-29 17:00:00+00:00,34.99300003,,,,,hourly,Aden International Airport ,
